species,slm,adf
Bacteroides fragilis,0.7155380083168896,0.013180608007169855
Bacteroides ovatus,0.772609356638732,0.013406224901688042
Bacteroides stercoris,0.6745320161545658,3.1889891143090125e-16
Bacteroides uniformis,0.1046700865395997,0.16468211979144165
Phocaeicola vulgatus,8.915781856660163e-07,0.0004550612289600727
Bacteroides xylanisolvens,0.6965509770337093,0.0003093073626044885
Barnesiella intestinihominis,0.3916251762710877,9.966406969291394e-06
Eubacterium rectale,0.6626271994387565,7.094752463659291e-14
Faecalibacterium prausnitzii (57453),0.3231361223751066,1.4037652661804497e-09
Parabacteroides merdae,0.7159159986633226,4.422772573590889e-16
Phascolarctobacterium sp,0.8810148425137847,0.012961811802169149
Ruminococcus bicirculans,0.1780810732907645,5.981301481110747e-10
Ruminococcus bromii,0.002412123851156,2.489234494321577e-12
