,am,ao,an,ae
Bacteroides_fragilis_54507,0.3298551983025572,0.7085423966550166,,
Bacteroides_ovatus_58035,0.3421017903800592,0.4490311594313239,,0.5579531904518327
Bacteroides_stercoris_56735,0.5043957542374989,,,
Bacteroides_uniformis_57318,0.4948686928013332,0.47416962245626676,0.6027090714342027,0.5137929711455037
Bacteroides_vulgatus_57955,0.7714968885904939,,0.7519620609238419,0.566378793167746
Bacteroides_xylanisolvens_57185,0.34231644325685223,0.3023871866972886,0.4083423884473838,
Barnesiella_intestinihominis_62208,0.4520377225074016,,0.3780998916816601,
Eubacterium_rectale_56927,0.5760389924988654,0.522232166410649,0.7463306778291446,0.5149529508426174
Faecalibacterium_prausnitzii_57453,0.31327520193401465,,,
Parabacteroides_merdae_56972,0.6669955091136456,,,
Phascolarctobacterium_sp_59817,0.4910307062402795,,,
Ruminococcus_bicirculans_59300,0.4854191297177579,0.5909331087530179,,
Ruminococcus_bromii_62047,0.5702978672505848,,0.4698842643520388,
Bifidobacterium_adolescentis_56815,,0.5622331142154001,,
Dialister_invisus_61905,,0.6222616941944845,,
Eubacterium_eligens_61678,,0.5532357563445486,,
Faecalibacterium_prausnitzii_61481,,0.5314850683624255,,
Faecalibacterium_prausnitzii_62201,,0.5297659068910374,,
Parabacteroides_distasonis_56985,,0.5249755370375205,,
Alistipes_putredinis_61533,,,0.40061292386580105,0.7125977820928717
Bacteroides_clarus_62282,,,0.6973227905396382,
Bacteroides_massiliensis_44749,,,0.6060904964298929,0.7963311472884727
Paraprevotella_clara_33712,,,0.43463355334520026,
Sutterella_wadsworthensis_56828,,,0.5327477189832756,
Alistipes_onderdonkii_55464,,,,0.6418057907057021
Bacteroides_cellulosilyticus_58046,,,,0.6929365640853199
Bacteroides_thetaiotaomicron_56941,,,,0.5510032348441919
